"Find people","Company Name","First Name","Last Name","Full Name","Job Title","Location","Company Domain","LinkedIn Profile"
,"Microsoft","Satya","Nadella","Satya Nadella","Chairman and CEO","Redmond, Washington, United States","microsoft.com","https://www.linkedin.com/in/satyanadella/"
,"LinkedIn","Jeff","Weiner","Jeff Weiner","Executive Chairman","United States","linkedin.com","https://www.linkedin.com/in/jeff-weiner-74b58a7/"
,"Thrive Global","Arianna","Huffington","Arianna Huffington","Founder and CEO","New York, New York, United States","thriveglobal.com","https://www.linkedin.com/in/arianna-huffington-aa715840/"
,"LinkedIn China 领英中国","Derek","Shen","Derek Shen","Global Vice President & President of LinkedIn China","United States","linkedin.com","https://www.linkedin.com/in/derekshen/"
,"Google","Sundar ","Pichai ","Sundar Pichai","CEO","Mountain View, California, United States","google.com","https://www.linkedin.com/in/sundarpichai/"
,"Big Red Group","Naomi","Simson","Naomi Simson","Co-Founder - Non Executive Director","Sydney, New South Wales, Australia","bigred.group","https://www.linkedin.com/in/naomisimson/"
,"DeepLearning.AI","Andrew","Ng","Andrew Ng","Founder","Palo Alto, California, United States","deeplearning.ai","https://www.linkedin.com/in/andrew-ng-a480314b/"
,"Microsoft","Rishi","Sunak","Rishi Sunak","Senior Adviser","United Kingdom, United Kingdom","microsoft.com","https://www.linkedin.com/in/rishi-sunak-4361871a5/"
,"GenAI.Works","Steve","Nouri","Steve Nouri","Chief Executive Officer","Australia","genai.works","https://www.linkedin.com/in/stevenouri/"
,"Rakuten","Mickey","Mikitani","Mickey Mikitani","Chairman and CEO","日本 東京都 東京","rakuten.com","https://www.linkedin.com/in/mikitani/"
,"HubSpot","Dharmesh","Shah","Dharmesh Shah","Founder and CTO","Greater Boston, United States","hubspot.com","https://www.linkedin.com/in/dharmesh-shah-2b1279/"
,"GenAI.Works","Alex","Wang","Alex Wang","Head of Education Strategy","Sydney, New South Wales, Australia","genai.works","https://www.linkedin.com/in/mengyaowang11/"
,"Amazon","Andy","Jassy","Andy Jassy","President and CEO","Greater Seattle Area","amazon.com","https://www.linkedin.com/in/andy-jassy-8b1615/"
,"ByteByteGo","Alex","Xu","Alex Xu","Author & Co-Founder","San Francisco, California, United States","bytebytego.com","https://www.linkedin.com/in/alexxubyte/"
,"Scale AI","Rachel","Mitchell","Rachel Mitchell","AI Advisor for businesses using Scale AI","Delray Beach, Florida, United States","scale.com","https://www.linkedin.com/in/rachel-mitchell-may-91a86291/"
,"LinkedIn","Ryan","Roslansky","Ryan Roslansky","Chief Executive Officer","San Francisco Bay Area, United States","linkedin.com","https://www.linkedin.com/in/ryanroslansky/"
,"Grupo PRIMO","Thiago","Lolkus Nigro","Thiago Lolkus Nigro","CEO e Fundador","Greater São Paulo Area","grupo-primo.com","https://www.linkedin.com/in/thiago-lolkus-nigro-64b48124/"
,"Google","Archy","Gupta","Archy Gupta","Software Engineer III","Hyderabad, Telangana, India","google.com","https://www.linkedin.com/in/archy-gupta-95153310a/"
,"Perplexity","Aravind","Srinivas","Aravind Srinivas","Cofounder, President, CEO","San Francisco, California, United States","perplexity.ai","https://www.linkedin.com/in/aravind-srinivas-16051987/"
,"Microsoft","Kevin","Scott","Kevin Scott","CTO Microsoft","Los Gatos, California, United States","microsoft.com","https://www.linkedin.com/in/jkevinscott/"
,"Suki","Punit Singh","Soni","Punit Singh Soni","Chief Executive Officer","Los Altos, California, United States","suki.ai","https://www.linkedin.com/in/punit-singh-soni-6b34331/"
,"Meta","Clara","Shih","Clara Shih","SVP, Head of Business AI","San Francisco, California, United States","meta.com","https://www.linkedin.com/in/clara-shih-4613730/"
,"IFS Copperleaf","Craig","Brown, PhD","Craig Brown, PhD","Manager, Data Scientist & Solutions Architecture (Cloud, Data Data Analytics)","Houston, Texas, United States","copperleaf.com","https://www.linkedin.com/in/craigbrownphd/"
,"Google","Nicky","Slavich","Nicky Slavich","Recruiter","Los Angeles Metropolitan Area, United States","google.com","https://www.linkedin.com/in/nicholasslavich/"
,"Phaidra","Geoffrey","Moore","Geoffrey Moore","Board Member","Menlo Park, California, United States","phaidra.ai","https://www.linkedin.com/in/geoffrey-moore-530b3330/"
,"Everlaw","Steven","Sinofsky","Steven Sinofsky","Board Member","Sioux Falls, South Dakota, United States","everlaw.com","https://www.linkedin.com/in/sinofsky/"
,"LinkedIn","Guilherme","Odri","Guilherme Odri","Senior Managing Editor","São Paulo, São Paulo, Brazil","linkedin.com","https://www.linkedin.com/in/guilherme-odri-12399953/"
