"Find people","Company Name","First Name","Last Name","Full Name","Job Title","Location","Company Domain","LinkedIn Profile"
,"Manas AI","Reid","Hoffman","Reid Hoffman","Co-Founder, Board Chair","United States","manasai.co","https://www.linkedin.com/in/reid-hoffman-851/"
,"Biocon Group","Kiran","Mazumdar Shaw","Kiran Mazumdar Shaw","Chairperson","Bengaluru, Karnataka, India","biocon.com","https://www.linkedin.com/in/kiran-mazumdar-shaw-3325309/"
,"Vionix Biosciences","Vivek","Wadhwa","Vivek Wadhwa","Chief Executive Officer","Berkeley, California, United States",,"https://www.linkedin.com/in/vivek-wadhwa-a834/"
,"Isomorphic Labs","Demis","Hassabis","Demis Hassabis","Founder & CEO","Greater London, England, United Kingdom","isomorphiclabs.com","https://www.linkedin.com/in/demis-hassabis-8b86511/"
,"Aditum Bio","Joe","Jimenez","Joe Jimenez","Co-Founder and Managing Director","Oakland, California, United States","aditumbio.com","https://www.linkedin.com/in/joelinkedin/"
,"CELL: Consortium for the Equations of Life and Living Systems","Mickey","McManus","Mickey McManus","Founding Advisor","San Francisco, California, United States",,"https://www.linkedin.com/in/mickey-mcmanus-28a4901/"
,"iBio, Inc.","Kristi","Sarno","Kristi Sarno","Senior Vice President Business Development","Cambridge, Massachusetts, United States","ibioinc.com","https://www.linkedin.com/in/kristi-sarno-3501475/"
,"Institut du Cerveau – Paris Brain Institute","Olivier","Goy","Olivier Goy","Ambassador","Paris, Île-de-France, France","institutducerveau.org","https://www.linkedin.com/in/oliviergoy/"
,"Cognision","Igor","Korolev, DO, PhD ","Igor Korolev, DO, PhD ","VP, Neuroscience & Digital Health","Greater Boston","cognision.com","https://www.linkedin.com/in/igor2k/"
,"CuraTeQ Biologics","Naresh Kumar","Gunda","Naresh Kumar Gunda","AGM Talent Acquisition","Greater Hyderabad Area, India","curateqbio.com","https://www.linkedin.com/in/nareshkumargunda/"
,"BioNTech SE","Luca","Dezzani","Luca Dezzani","Vice President US Medical Affairs","New York, New York, United States","biontech.com","https://www.linkedin.com/in/luca-dezzani-850a8697/"
,"Revvity","Annapoorna","Anu","Annapoorna Anu","Senior Executive Human Resources","Chennai, Tamil Nadu, India","revvity.com","https://www.linkedin.com/in/annapoorna-anu/"
,"Nando","Michał","Słota","Michał Słota","Head of Marketing","Cracow Metropolitan Area, Poland","nandobio.com","https://www.linkedin.com/in/michał-słota-a94065181/"
,"BioMarin Pharmaceutical Inc.","Alexander","Hardy","Alexander Hardy","President and Chief Executive Officer","San Rafael, California, United States","biomarin.com","https://www.linkedin.com/in/alexander-hardy-328827/"
,"Nanolive SA","Joanna","Sadowska, PhD, EMBA","Joanna Sadowska, PhD, EMBA","Biopharma Account Specialist","Boston, Massachusetts, United States","nanolive.ch","https://www.linkedin.com/in/joanna-sadowska-phd-msc-bsc-86594662/"
,"Localvore Biotechnology","Can","KAYACILAR","Can KAYACILAR","Founder | Innovation Lead","Kocaeli, Türkiye","localvore.com.tr","https://www.linkedin.com/in/can-kayacilar-352429b/"
,"Roche","Teresa","Harris Graham","Teresa Harris Graham","CEO of Roche Pharmaceuticals","Basel Metropolitan Area, Switzerland","roche.com","https://www.linkedin.com/in/teresa-harris-graham-a2610/"
,"Biogen","Amira","Chelghoum","Amira Chelghoum","Head of HR Türkiye & International Partner Markets / Talent Acquisition Head Europe, GCC & India","Dubai, United Arab Emirates","biogen.com","https://www.linkedin.com/in/amirachelghoum/"
