"Find people","Company Name","First Name","Last Name","Full Name","Job Title","Location","Company Domain","LinkedIn Profile"
,"Ritual AI","Atif","Rafiq","Atif Rafiq","CEO & Co-founder","Greater Chicago Area","ritual.work","https://www.linkedin.com/in/atif1/"
,"Financiario","Oana","Labes, MBA, CPA","Oana Labes, MBA, CPA","Founder & CEO","San Francisco Bay Area","financiario.com","https://www.linkedin.com/in/oanalabes/"
,"Ritual AI","Michael","Vo","Michael Vo","CTO & Co-Founder","Los Angeles Metropolitan Area","ritual.work","https://www.linkedin.com/in/michael-vo-b0b46a10/"
,"ALRigs Trumsy.AI","Sachin","Kapoor","Sachin Kapoor","Co-Founder","Gurgaon, Haryana, India","trumsy.ai","https://www.linkedin.com/in/sachin-kapoor-8117b71/"
,"PT Momentum Teknodata Semesta (MTDS)","Munir","Machmud Ali","Munir Machmud Ali","Chairman of the Board","Jakarta, Jakarta, Indonesia","momentumteknodatasemesta.com","https://www.linkedin.com/in/munir-machmud-ali-1b2a4774/"
,"ResolvedX","Braxton","Miller","Braxton Miller","Partner | Strategic Advisor","Columbus, Ohio, United States","resolvedx.io","https://www.linkedin.com/in/braxtonmiller13/"
,"Little John","Alex","Dantart","Alex Dantart","Co-Founder & CIO","Zaragoza, Aragon, Spain","littlejohn.ai","https://www.linkedin.com/in/dantart/"
,"Linkers Technology","Adwa","AlDakheel","Adwa AlDakheel","Board Member","السعودية","linkers.io","https://www.linkedin.com/in/adwa-aldakheel-ababb23a/"
,"Akii - AI Visibility Optimization Platform","Josef","Holm","Josef Holm","Founder","دبي الإمارات العربية المتحدة","akii.com","https://www.linkedin.com/in/josef-holm-b726092b/"
,"AIVON Digital Solutions","Muhammad","Talha","Muhammad Talha","Co-Founder","Karāchi, Sindh, Pakistan","aivon.site","https://www.linkedin.com/in/mtalha3/"
,"WORLDEF Growth Network","Omar","NART","Omar NART","Founder & Chairman","Dubai, United Arab Emirates","worldef.com","https://www.linkedin.com/in/omernart/"
,"XporY.com Corporate Barter | Business Barter | Exchange via Business Club","Rafael","Barbosa","Rafael Barbosa","CEO / CVO - XporY.com Permuta Corporativa","São Paulo, Brazil","xpory.com","https://www.linkedin.com/in/rafaelbarbosa-ceoxporypermutasebrae-mentoresgfintechstartup-economiacolaborativa-trocaescambobarter/"
,"Silla","Nicholas","J.","Nicholas J.","Co-Founder - Silla","United Kingdom","socialselling.co.uk","https://www.linkedin.com/in/nicholasjonesintl/"
,"Research Development and Knowledge","Danish","Haider","Danish Haider","Co-Founder","Brisbane, Queensland, Australia",,"https://www.linkedin.com/in/danish-haider-1aa5031a4/"
,"Kevla GmbH","Sebastian","Britz","Sebastian Britz","CEO","Berlin, Berlin, Germany","kevla.io","https://www.linkedin.com/in/sebastian-britz-336907138/"
