"Find people","Company Name","First Name","Last Name","Full Name","Job Title","Location","Company Domain","LinkedIn Profile"
,"FLIGHTSTORY","Steven","Bartlett","Steven Bartlett","Founder","United Kingdom","flightstory.com","https://www.linkedin.com/in/stevenbartlett-123/"
,"IRREPLACEABLE With AI","Pascal","BORNET","Pascal BORNET","Keynote Speaker, Best-selling Author and Social Media Influencer","Miami, Florida, United States","irreplaceable.ai","https://www.linkedin.com/in/pascal-bornet-09818512/"
,"Superhuman AI","Zain","Kahn","Zain Kahn","Co-Founder","Toronto, Ontario, Canada",,"https://www.linkedin.com/in/zainkahn/"
,"Inc42 Media","Pooja","Sareen","Pooja Sareen","Cofounder & EIC","Greater Delhi Area","inc42.com","https://www.linkedin.com/in/pooja-sareen-23874151/"
,"Jota Company","Joel","Jota","Joel Jota","Fundador","Greater São Paulo Area, Brazil","joeljota.com","https://www.linkedin.com/in/joeljota/"
,"Telly TV","Ilya","Pozin","Ilya Pozin","CEO, Founder","Los Angeles Metropolitan Area, United States","telly.com","https://www.linkedin.com/in/ilya-pozin-107b381/"
,"Uplevyl","Jacki","Zehner","Jacki Zehner","Lead Investor / Chief Engagement Officer","Park City, Utah, United States","uplevyl.com","https://www.linkedin.com/in/jacki-zehner-41557a8/"
,"DIGITAL STORM weekly","Paul","Storm","Paul Storm","Chief Marketing Officer & Co-Founder","Stuttgart Region, Germany",,"https://www.linkedin.com/in/paul-storm/"
,"Starchild Music","Cory ","Warfield","Cory Warfield","Chief Growth Officer","Praça Unidos do Brasil, Petrópolis, Rio de Janeiro, Brazil","starchildmusic.ai","https://www.linkedin.com/in/corywarfield/"
,"Quanten Media","Vijay","Anand","Vijay Anand","Founder","Singapore","quanten.co","https://www.linkedin.com/in/vijay-anand-57b381/"
,"REGENERATOR","Henry","Blodget","Henry Blodget","Founder, CEO, and EIC","New York, New York, United States",,"https://www.linkedin.com/in/henry-blodget-a541a3/"
,"Me Poupe!","Nathalia","Arcuri","Nathalia Arcuri","CEO / Founder","São Paulo, Brazil","mepoupe.com","https://www.linkedin.com/in/nathaliaarcuri/"
,"National Press Foundation","Rachel","Jones","Rachel Jones","Director of Journalism Initiatives","Washington DC-Baltimore Area, United States","nationalpress.org","https://www.linkedin.com/in/rachel-jones-3079323/"
,"1% Better","Colby","Kultgen","Colby Kultgen","Writer","Toronto, Ontario, Canada","ck.page","https://www.linkedin.com/in/colby-kultgen-a75622240/"
,"The Quiet Rich","Jade","Bonacolta","Jade Bonacolta","Founder","New York, New York, United States","thequietrich.co","https://www.linkedin.com/in/jadebonacolta/"
,"eCom Email Marketer","Chase","Dimond","Chase Dimond","Co-Founder","Tustin, California, United States","ecomemailmarketer.com","https://www.linkedin.com/in/chasedimond/"
,"Earn With creatyl","Justin","Mecham","Justin Mecham","Founder & CEO","Salt Lake City Metropolitan Area, United States","creatyl.com","https://www.linkedin.com/in/justinmecham/"
,"NirAndFar.com","Nir","Eyal","Nir Eyal","Author ""Beyond Belief""","New York, New York, United States","nirandfar.com","https://www.linkedin.com/in/nireyal/"
